Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8233452352, 2.33968342685;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;110444.0;Arbre;Jardin;PARIS 14E ARRDT;04 - Le vallon du Lac / Lac et Berges;;000401007;138.0;5.0;M;Inconnue;'Tortuosa';1700-01-01T01:02:49+00:53;1;69512;Hêtre
48.8217882346, 2.3228497157;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;121632.0;Arbre;Jardin;PARIS 14E ARRDT;14-09;;00000174;310.0;15.0;M;Inconnue;'Atropunicea';1700-01-01T01:02:49+00:53;1;97749;Hêtre
48.864817945, 2.252676244;Sequoiadendron;giganteum;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002394.0;Arbre;Jardin;BOIS DE BOULOGNE;16-14;;000501003;634.0;32.0;A;Inconnue;;1872-01-01T01:02:49+00:53;1;118329;Sequoia
48.8692243438, 2.24601704099;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002346.0;Arbre;Jardin;BOIS DE BOULOGNE;16-19;;000701005;500.0;40.0;M;Inconnue;;1847-01-01T01:02:49+00:53;1;74893;Platane
48.8669731103, 2.31951515223;Sequoiadendron;giganteum;JARDINS DES CHAMPS ELYSEES;302514.0;Arbre;Jardin;PARIS 8E ARRDT;08-05;;00040057;335.0;19.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;86590;Sequoia
48.831421465, 2.41151437819;Diospyros;virginiana;ILE DE BERCY / LAC DAUMESNIL;2002360.0;Arbre;Jardin;BOIS DE VINCENNES;12-12;;12-12;163.0;15.0;A;Inconnue;;1935-01-01T01:00:00+01:00;1;90713;Plaqueminier
48.855639773, 2.29642967787;Melia;azedarach;JARDIN DU CHAMP DE MARS;107079.0;Arbre;Jardin;PARIS 7E ARRDT;07-03;;P0040881;125.0;10.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;99110;Lilas de Perse
48.8558090006, 2.30029407426;Diospyros;kaki;JARDIN DU CHAMP DE MARS;106715.0;Arbre;Jardin;PARIS 7E ARRDT;07-05;;P0090571;117.0;14.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;81489;Plaqueminier
48.8564741998, 2.39461847904;Platanus;x hispanica;BOULEVARD DE CHARONNE;223748.0;Arbre;Alignement;PARIS 20E ARRDT;148;;001802036;407.0;23.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;110641;Platane
48.8770427283, 2.38050012851;Taxus;baccata;PARC DES BUTTES CHAUMONT;103916.0;Arbre;Jardin;PARIS 19E ARRDT;;;O1020001;140.0;13.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;85518;If
